,word,pos-tag,japan_tokens,japan_freq,russia_tokens,russia_freq
0,able,adjs,,,58.0,5.27e-06
1,abroad,advbs,,,19.0,1.73e-06
2,action,nouns,182.0,1.655e-05,119.0,1.082e-05
3,agree,verbs,,,107.0,9.73e-06
4,alone,advbs,54.0,4.91e-06,20.0,1.82e-06
5,already,advbs,105.0,9.55e-06,91.0,8.28e-06
6,always,advbs,47.0,4.27e-06,,
7,american,adjs,130.0,1.182e-05,119.0,1.082e-05
8,army,nouns,149.0,1.355e-05,,
9,askold,nouns,165.0,1.501e-05,,
10,away,advbs,54.0,4.91e-06,19.0,1.73e-06
11,bear,verbs,,,74.0,6.73e-06
12,believe,verbs,135.0,1.228e-05,80.0,7.28e-06
13,belligerent,adjs,,,57.0,5.18e-06
14,boat,nouns,270.0,2.455e-05,,
15,break,verbs,112.0,1.019e-05,,
16,british,adjs,,,172.0,1.564e-05
17,capture,verbs,120.0,1.091e-05,,
18,carry,verbs,178.0,1.619e-05,73.0,6.64e-06
19,case,nouns,207.0,1.883e-05,144.0,1.31e-05
20,chinese,adjs,229.0,2.083e-05,118.0,1.073e-05
21,come,verbs,150.0,1.364e-05,76.0,6.91e-06
22,compel,verbs,,,87.0,7.91e-06
23,concern,verbs,101.0,9.19e-06,,
24,consider,verbs,,,85.0,7.73e-06
25,contraband,nouns,,,125.0,1.137e-05
26,cruiser,nouns,189.0,1.719e-05,141.0,1.282e-05
27,de,advbs,35.0,3.18e-06,,
28,declare,verbs,,,71.0,6.46e-06
29,demand,nouns,154.0,1.401e-05,,
30,destroyer,nouns,304.0,2.765e-05,115.0,1.046e-05
31,disarm,verbs,119.0,1.082e-05,,
32,entirely,advbs,38.0,3.46e-06,,
33,especially,advbs,47.0,4.27e-06,24.0,2.18e-06
34,expect,verbs,,,63.0,5.73e-06
35,far,adjs,94.0,8.55e-06,78.0,7.09e-06
36,far,advbs,161.0,1.464e-05,93.0,8.46e-06
37,find,verbs,102.0,9.28e-06,,
38,fleet,nouns,,,115.0,1.046e-05
39,follow,verbs,116.0,1.055e-05,68.0,6.18e-06
40,force,nouns,,,114.0,1.037e-05
41,force,verbs,103.0,9.37e-06,,
42,foreign,adjs,157.0,1.428e-05,92.0,8.37e-06
43,formally,advbs,,,45.0,4.09e-06
44,french,adjs,,,55.0,5e-06
45,fully,advbs,36.0,3.27e-06,29.0,2.64e-06
46,general,adjs,158.0,1.437e-05,79.0,7.18e-06
47,german,adjs,84.0,7.64e-06,,
48,good,adjs,139.0,1.264e-05,101.0,9.19e-06
49,great,adjs,452.0,4.111e-05,325.0,2.956e-05
50,greatly,advbs,38.0,3.46e-06,24.0,2.18e-06
51,harbor,nouns,183.0,1.664e-05,,
52,high,adjs,,,54.0,4.91e-06
53,hold,verbs,,,79.0,7.18e-06
54,immediately,advbs,41.0,3.73e-06,,
55,instead,advbs,40.0,3.64e-06,22.0,2e-06
56,international,adjs,108.0,9.82e-06,,
57,japanese,adjs,511.0,4.647e-05,247.0,2.246e-05
58,large,adjs,113.0,1.028e-05,,
59,law,nouns,178.0,1.619e-05,,
60,lead,verbs,116.0,1.055e-05,,
61,leave,verbs,166.0,1.51e-05,,
62,less,advbs,,,17.0,1.55e-06
63,little,adjs,74.0,6.73e-06,,
64,long,advbs,94.0,8.55e-06,83.0,7.55e-06
65,matter,nouns,,,109.0,9.91e-06
66,ment,nouns,,,98.0,8.91e-06
67,military,adjs,132.0,1.2e-05,74.0,6.73e-06
68,much,advbs,74.0,6.73e-06,40.0,3.64e-06
69,naval,adjs,94.0,8.55e-06,106.0,9.64e-06
70,neutral,adjs,136.0,1.237e-05,180.0,1.637e-05
71,neutrality,nouns,367.0,3.338e-05,272.0,2.474e-05
72,new,adjs,83.0,7.55e-06,,
73,officially,advbs,42.0,3.82e-06,22.0,2e-06
74,people,nouns,,,104.0,9.46e-06
75,perhaps,advbs,,,22.0,2e-06
76,permit,verbs,135.0,1.228e-05,,
77,port,nouns,528.0,4.802e-05,248.0,2.255e-05
78,possible,adjs,,,60.0,5.46e-06
79,power,nouns,496.0,4.511e-05,281.0,2.556e-05
80,practically,advbs,92.0,8.37e-06,25.0,2.27e-06
81,present,adjs,149.0,1.355e-05,94.0,8.55e-06
82,probably,advbs,73.0,6.64e-06,40.0,3.64e-06
83,promptly,advbs,,,30.0,2.73e-06
84,protect,verbs,118.0,1.073e-05,,
85,protest,nouns,,,130.0,1.182e-05
86,protest,verbs,,,70.0,6.37e-06
87,quite,advbs,37.0,3.36e-06,,
88,reach,verbs,100.0,9.09e-06,,
89,receive,verbs,107.0,9.73e-06,,
90,recently,advbs,43.0,3.91e-06,21.0,1.91e-06
91,recognize,verbs,,,66.0,6e-06
92,regard,verbs,159.0,1.446e-05,140.0,1.273e-05
93,remain,verbs,,,68.0,6.18e-06
94,report,verbs,113.0,1.028e-05,76.0,6.91e-06
95,respect,verbs,,,88.0,8e-06
96,right,nouns,,,117.0,1.064e-05
