,word,pos-tag,japan_tokens,japan_freq,russia_tokens,russia_freq
0,able,adjs,234.0,1.766e-05,155.0,1.17e-05
1,accept,verbs,424.0,3.2e-05,490.0,3.698e-05
2,admiral,adjs,165.0,1.245e-05,,
3,agree,verbs,422.0,3.185e-05,308.0,2.325e-05
4,already,advbs,189.0,1.427e-05,162.0,1.223e-05
5,always,advbs,60.0,4.53e-06,59.0,4.45e-06
6,ambassador,nouns,,,415.0,3.132e-05
7,appoint,verbs,265.0,2e-05,,
8,armistice,nouns,351.0,2.649e-05,,
9,battle,nouns,448.0,3.381e-05,,
10,believe,verbs,436.0,3.291e-05,338.0,2.551e-05
11,bring,verbs,608.0,4.589e-05,515.0,3.887e-05
12,certainly,advbs,,,51.0,3.85e-06
13,come,verbs,424.0,3.2e-05,345.0,2.604e-05
14,conclude,verbs,298.0,2.249e-05,255.0,1.925e-05
15,condition,nouns,369.0,2.785e-05,310.0,2.34e-05
16,conference,nouns,517.0,3.902e-05,461.0,3.48e-05
17,consider,verbs,343.0,2.589e-05,289.0,2.181e-05
18,continue,verbs,,,282.0,2.128e-05
19,decide,verbs,,,207.0,1.562e-05
20,declare,verbs,257.0,1.94e-05,,
21,definitely,advbs,,,51.0,3.85e-06
22,demand,nouns,343.0,2.589e-05,,
23,demand,verbs,334.0,2.521e-05,,
24,diplomatic,adjs,232.0,1.751e-05,204.0,1.54e-05
25,directly,advbs,130.0,9.81e-06,146.0,1.102e-05
26,discuss,verbs,318.0,2.4e-05,,
27,emperor,nouns,,,449.0,3.389e-05
28,enough,advbs,69.0,5.21e-06,60.0,4.53e-06
29,entirely,advbs,78.0,5.89e-06,67.0,5.06e-06
30,european,adjs,181.0,1.366e-05,,
31,expect,verbs,311.0,2.347e-05,,
32,express,verbs,344.0,2.596e-05,291.0,2.196e-05
33,far,adjs,208.0,1.57e-05,179.0,1.351e-05
34,far,advbs,380.0,2.868e-05,284.0,2.144e-05
35,find,verbs,,,204.0,1.54e-05
36,follow,verbs,,,225.0,1.698e-05
37,foreign,adjs,326.0,2.461e-05,307.0,2.317e-05
38,formally,advbs,137.0,1.034e-05,122.0,9.21e-06
39,french,adjs,,,126.0,9.51e-06
40,friendly,adjs,,,136.0,1.026e-05
41,fully,advbs,130.0,9.81e-06,161.0,1.215e-05
42,general,adjs,220.0,1.661e-05,168.0,1.268e-05
43,generally,advbs,87.0,6.57e-06,94.0,7.09e-06
44,good,adjs,408.0,3.079e-05,387.0,2.921e-05
45,great,adjs,843.0,6.363e-05,565.0,4.264e-05
46,hold,verbs,274.0,2.068e-05,282.0,2.128e-05
47,imperial,adjs,,,145.0,1.094e-05
48,indemnity,nouns,501.0,3.781e-05,,
49,indicate,verbs,304.0,2.295e-05,208.0,1.57e-05
50,instead,advbs,62.0,4.68e-06,,
51,interest,nouns,377.0,2.846e-05,352.0,2.657e-05
52,japanese,adjs,783.0,5.91e-05,470.0,3.547e-05
53,less,advbs,61.0,4.6e-06,66.0,4.98e-06
54,likely,adjs,179.0,1.351e-05,133.0,1.004e-05
55,long,advbs,127.0,9.59e-06,108.0,8.15e-06
56,lose,verbs,,,215.0,1.623e-05
57,meet,verbs,563.0,4.249e-05,390.0,2.944e-05
58,meeting,nouns,494.0,3.729e-05,388.0,2.929e-05
59,ment,nouns,,,265.0,2e-05
60,much,adjs,179.0,1.351e-05,138.0,1.042e-05
61,much,advbs,95.0,7.17e-06,,
62,naval,adjs,449.0,3.389e-05,285.0,2.151e-05
63,nearly,advbs,68.0,5.13e-06,,
64,negotiation,nouns,867.0,6.544e-05,881.0,6.65e-05
65,new,adjs,193.0,1.457e-05,141.0,1.064e-05
66,official,adjs,374.0,2.823e-05,298.0,2.249e-05
67,officially,advbs,96.0,7.25e-06,82.0,6.19e-06
68,peace,nouns,3311.0,0.00024991,2880.0,0.00021738
69,place,nouns,676.0,5.102e-05,641.0,4.838e-05
70,plenipotentiary,nouns,769.0,5.804e-05,710.0,5.359e-05
71,possible,adjs,266.0,2.008e-05,249.0,1.879e-05
72,power,nouns,769.0,5.804e-05,809.0,6.106e-05
73,practically,advbs,125.0,9.43e-06,135.0,1.019e-05
74,present,adjs,252.0,1.902e-05,226.0,1.706e-05
75,president,nouns,1194.0,9.012e-05,1008.0,7.608e-05
76,probably,advbs,188.0,1.419e-05,158.0,1.193e-05
77,rather,advbs,81.0,6.11e-06,50.0,3.77e-06
78,ready,adjs,203.0,1.532e-05,168.0,1.268e-05
79,reasonable,adjs,177.0,1.336e-05,,
80,receive,verbs,344.0,2.596e-05,218.0,1.645e-05
81,regard,verbs,339.0,2.559e-05,286.0,2.159e-05
82,reply,nouns,,,270.0,2.038e-05
83,representative,nouns,,,304.0,2.295e-05
84,roosevelt,nouns,345.0,2.604e-05,321.0,2.423e-05
85,russian,adjs,1380.0,0.00010416,826.0,6.234e-05
86,sea,nouns,470.0,3.547e-05,316.0,2.385e-05
87,seem,verbs,268.0,2.023e-05,,
88,send,verbs,374.0,2.823e-05,237.0,1.789e-05
89,seriously,advbs,63.0,4.76e-06,55.0,4.15e-06
90,suggest,verbs,,,213.0,1.608e-05
91,term,nouns,1828.0,0.00013797,1127.0,8.506e-05
92,therefore,advbs,,,74.0,5.59e-06
93,together,advbs,243.0,1.834e-05,163.0,1.23e-05
94,victory,nouns,399.0,3.012e-05,,
95,war,nouns,1854.0,0.00013994,1382.0,0.00010431
96,world,nouns,462.0,3.487e-05,324.0,2.445e-05
